Comment,Designator,Footprint,LCSC,Quantity
1.18k,R14,R_0402_1005Metric,C2088001,1
1.54M,R19,R_0402_1005Metric,C407713,1
100,"R4,R5",R_0402_1005Metric,C25076,2
100k,"R13,R9",R_0402_1005Metric,C25741,2
100k,"R18,R6",R_0402_1005Metric,C2909355,2
10k,"R1,R12,R15,R16,R21,R3",R_0402_1005Metric,C25744,6
10pF,C16,C_0402_1005Metric,C513681,1
10uF,"C1,C10,C11,C12,C13,C23,C6",C_0402_1005Metric,C20069813,7
10uH,"L2,L7",L_Chilisin_BWVS00505030,C144391,2
10Ω,R20,R_0402_1005Metric,C2906862,1
150k,R17,R_0402_1005Metric,C2909320,1
180,R11,R_0402_1005Metric,C5141075,1
1nF,"C14,C25",C_0402_1005Metric,C2167623,2
1uH,L4,L_Coilcraft_XAL5030-XXX,C18208905,1
2.9Ohms @ 1Mhz,"L1,L3,L5,L6",L_Chilisin_BWVS00505030,C711211,4
220nF,"C15,C18",C_0402_1005Metric,C915854,2
22uF,"C7,C8,C9",C_0805_2012Metric,C23692981,3
22uF,"C2,C24",CP_Elec_5x5.9,C454605,2
4.7nF,"C17,C26,C4,C5",C_0402_1005Metric,C1518204,4
4.7uF,"C19,C20,C21,C22,C3",C_0402_1005Metric,C6119795,5
5.1k,"R10,R8",R_0402_1005Metric,C5356293,2
732k,"R22,R23,R7",R_0402_1005Metric,C27016,3
91k,R2,R_0402_1005Metric,C2909393,1
Blue 2.9V,D5,LED_0603_1608Metric,C51933294,1
CN3158,U6,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias-0p3mm,C559032,1
CP2102,U4,QFN-28-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,C964632,1
DMP3015LSS-13,Q1,SOIC-8_3.9x4.9mm_P1.27mm,C508208,1
D_Schottky,"D1,D3",D_SOD-123F,C22466352,2
ESP32-WROOM-32E-N8R2,U1,ESP32-WROOM-32E-0p3mm,C5361945,1
Fuxinsemi_PDS760,D2,TO-277B,C3018534,1
"Green, 3.2V",D4,LED_0603_1608Metric,C51933293,1
LT1963AEST-3.3#TRPBF,U5,SOT-223-3_TabPin2,C459918,1
MMBT3904,"Q2,Q3",SOT-23,C364310,2
TPS61022,U3,Texas_RWU0007A_VQFN-7_2x2mm_P0.5mm,C915088,1
TPS61170DRVR,U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,C15163,1
TPS63700,U7,Texas_S-PWSON-N10_ThermalVias,C54792,1
USB_C_Receptacle_USB2.0_16P,J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C3025063,1
